SRX_accession	SRA_accession	series	GEO_accession	library_prep	library_	enrichment	platform	species	condition	origin_tissue	study_id	inflammatory_analysis	included.in.current.version	X1st.author	citation.PMID	ARCHS4	genotype	isolation_strategy	timecourse	model
SRX7052814	SRR10342790	GSE139358_GSE139360	GSM4138687	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052815	SRR10342791	GSE139358_GSE139360	GSM4138688	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052816	SRR10342792	GSE139358_GSE139360	GSM4138689	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052817	SRR10342793	GSE139358_GSE139360	GSM4138690	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052818	SRR10342794	GSE139358_GSE139360	GSM4138691	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052819	SRR10342795	GSE139358_GSE139360	GSM4138692	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052820	SRR10342796	GSE139358_GSE139360	GSM4138693	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052821	SRR10342797	GSE139358_GSE139360	GSM4138694	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	HC	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052822	SRR10342798	GSE139358_GSE139360	GSM4138695	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052823	SRR10342799	GSE139358_GSE139360	GSM4138696	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052824	SRR10342800	GSE139358_GSE139360	GSM4138697	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052825	SRR10342801	GSE139358_GSE139360	GSM4138698	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052826	SRR10342802	GSE139358_GSE139360	GSM4138699	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052827	SRR10342803	GSE139358_GSE139360	GSM4138700	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052828	SRR10342804	GSE139358_GSE139360	GSM4138701	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052829	SRR10342805	GSE139358_GSE139360	GSM4138702	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052830	SRR10342806	GSE139358_GSE139360	GSM4138703	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052831	SRR10342807	GSE139358_GSE139360	GSM4138704	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052832	SRR10342808	GSE139358_GSE139360	GSM4138705	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052844	SRR10342820	GSE139358_GSE139360	GSM4138717	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052845	SRR10342821	GSE139358_GSE139360	GSM4138718	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052846	SRR10342822	GSE139358_GSE139360	GSM4138719	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052847	SRR10342823	GSE139358_GSE139360	GSM4138720	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052848	SRR10342824	GSE139358_GSE139360	GSM4138721	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX7052849	SRR10342825	GSE139358_GSE139360	GSM4138722	TruSeq Stranded mRNA	single-end	mRNA	Illumina HiSeq 3000	Hs	Lupus_NDN	PB	Mistry P 2019	TRUE	FALSE	Mistry P	31754025	FALSE	NA	CD10+_CD14-_CD15+	NA	in vivo
SRX8736732	SRR12228143	GSE154474	GSM4671849	NA	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Wright HL 2020	TRUE	FALSE	Wright HL	33469455	FALSE	NA	Polymorphprep	NA	in vivo
SRX8736733	SRR12228144	GSE154474	GSM4671850	NA	single-end	mRNA	Illumina HiSeq 2000	Hs	RA	SF	Wright HL 2020	TRUE	FALSE	Wright HL	33469455	FALSE	NA	Polymorphprep	NA	in vivo
SRX8736734	SRR12228145	GSE154474	GSM4671851	NA	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Wright HL 2020	TRUE	FALSE	Wright HL	33469455	FALSE	NA	Polymorphprep	NA	in vivo
SRX8736735	SRR12228146	GSE154474	GSM4671852	NA	single-end	mRNA	Illumina HiSeq 2000	Hs	RA	SF	Wright HL 2020	TRUE	FALSE	Wright HL	33469455	FALSE	NA	Polymorphprep	NA	in vivo
SRX8736736	SRR12228147	GSE154474	GSM4671853	NA	single-end	mRNA	Illumina HiSeq 2000	Hs	HC	PB	Wright HL 2020	TRUE	FALSE	Wright HL	33469455	FALSE	NA	Polymorphprep	NA	in vivo
SRX8736737	SRR12228148	GSE154474	GSM4671854	NA	single-end	mRNA	Illumina HiSeq 2000	Hs	RA	SF	Wright HL 2020	TRUE	FALSE	Wright HL	33469455	FALSE	NA	Polymorphprep	NA	in vivo
